runtime: 20.631551 rate: 234026.079663
rank, errors, unknown, found, total, checked, job steal msgs received, work items send, job steal msgs send, work items stolen, time spend in job stealing in s, number of completion tokens send
0, 0, 0, 953, 418169, 416883, 5452, 5087, 3831, 6410, 3.638s, 5
1, 0, 0, 142, 39582, 39476, 4807, 467, 5431, 577, 16.814s, 5
2, 0, 0, 0, 0, 0, 5911, 0, 5102, 0, 20.503s, 5
3, 0, 0, 0, 9768, 9869, 5513, 127, 5186, 27, 20.361s, 5
4, 0, 0, 0, 34, 0, 4586, 0, 5758, 34, 20.481s, 5
5, 0, 0, 0, 32, 0, 4270, 0, 6066, 32, 20.357s, 5
6, 0, 0, 0, 0, 0, 8131, 0, 5752, 0, 20.506s, 5
7, 0, 0, 0, 0, 0, 7109, 0, 5105, 0, 20.517s, 5
8, 0, 0, 1, 137851, 138647, 5270, 1161, 5369, 381, 6.406s, 5
9, 0, 0, 0, 39476, 39476, 6241, 0, 5722, 4, 19.928s, 5
10, 0, 0, 0, 0, 0, 5285, 0, 5191, 0, 20.514s, 5
11, 0, 0, 0, 11, 0, 7915, 0, 5780, 11, 20.487s, 5
12, 0, 0, 0, 0, 0, 5750, 0, 5179, 0, 20.550s, 5
13, 0, 0, 0, 97388, 98690, 6647, 1986, 5717, 694, 16.484s, 5
14, 0, 0, 0, 10, 0, 4212, 1, 5775, 11, 20.499s, 5
15, 0, 0, 4, 15, 0, 4592, 0, 5406, 15, 20.483s, 5
16, 0, 0, 0, 6, 0, 5132, 0, 5165, 6, 20.426s, 5
17, 0, 0, 0, 39, 0, 6367, 0, 5164, 39, 20.362s, 5
18, 0, 0, 0, 6, 0, 6075, 0, 5768, 6, 20.496s, 5
19, 0, 0, 0, 665, 0, 3417, 6, 5183, 671, 20.048s, 5
20, 0, 0, 0, 19548, 19738, 7867, 199, 5419, 11, 20.259s, 5
21, 0, 0, 17, 40, 0, 6445, 0, 5770, 40, 20.475s, 5
22, 0, 0, 0, 0, 0, 7403, 0, 5719, 0, 17.495s, 5
23, 0, 0, 0, 155, 0, 3067, 152, 5136, 307, 20.438s, 5
24, 0, 0, 0, 0, 0, 5329, 0, 5132, 0, 20.504s, 5
25, 0, 0, 0, 132, 0, 1936, 0, 5738, 132, 20.450s, 5
26, 0, 0, 2, 2, 0, 5754, 2, 5726, 4, 20.525s, 5
27, 0, 0, 0, 1, 0, 5083, 0, 5186, 1, 20.543s, 5
28, 0, 0, 0, 10292, 9869, 3853, 0, 5188, 424, 20.082s, 5
29, 0, 0, 0, 16, 0, 9061, 0, 5102, 16, 20.486s, 5
30, 0, 0, 0, 9940, 9869, 5578, 0, 5786, 72, 20.325s, 5
31, 0, 0, 0, 9905, 9869, 2540, 0, 5794, 37, 20.354s, 5
32, 0, 0, 0, 0, 0, 4240, 0, 5791, 0, 20.507s, 5
33, 0, 0, 0, 19743, 19738, 4141, 0, 5775, 7, 20.209s, 5
34, 0, 0, 0, 9911, 9869, 2913, 0, 5806, 43, 20.324s, 5
35, 0, 0, 0, 19729, 19738, 5274, 26, 5183, 19, 20.211s, 5
36, 0, 0, 0, 120, 0, 6223, 4, 5485, 124, 20.463s, 5
37, 0, 0, 0, 9947, 9869, 4881, 0, 5000, 79, 20.316s, 5
38, 0, 0, 0, 6, 0, 3862, 0, 5780, 6, 20.489s, 5
39, 0, 0, 0, 11, 0, 3352, 0, 5819, 11, 20.504s, 5
40, 0, 0, 0, 9817, 9869, 6259, 108, 5818, 57, 17.446s, 5
41, 0, 0, 1, 40, 0, 2912, 76, 5825, 116, 20.264s, 5
42, 0, 0, 0, 27, 0, 6187, 0, 5806, 27, 17.517s, 5
43, 0, 0, 0, 9915, 9869, 4788, 8, 5218, 55, 20.319s, 5
44, 0, 0, 0, 19729, 19738, 4933, 825, 5812, 818, 16.877s, 5
45, 0, 0, 0, 3, 0, 4827, 0, 5449, 3, 20.512s, 5
46, 0, 0, 0, 0, 0, 3987, 0, 5221, 0, 20.508s, 5
47, 0, 0, 0, 121, 0, 5146, 64, 5157, 185, 20.155s, 5
48, 0, 0, 0, 3, 0, 3477, 0, 5436, 3, 20.505s, 5
49, 0, 0, 0, 24, 0, 6424, 0, 5776, 24, 20.464s, 5
50, 0, 0, 0, 2, 0, 4786, 0, 5418, 2, 20.506s, 5
51, 0, 0, 0, 11, 0, 3849, 0, 5439, 11, 20.501s, 5
52, 0, 0, 0, 10, 0, 4495, 0, 5118, 10, 17.617s, 5
53, 0, 0, 0, 3, 0, 3373, 0, 5163, 3, 20.499s, 5
54, 0, 0, 0, 3, 0, 4353, 0, 5210, 3, 20.504s, 5
55, 0, 0, 0, 5, 0, 7296, 0, 5444, 5, 20.501s, 5
56, 0, 0, 0, 0, 0, 7075, 0, 5786, 0, 20.512s, 5
57, 0, 0, 0, 4, 0, 6253, 0, 5160, 4, 20.544s, 5
58, 0, 0, 0, 17, 0, 3383, 0, 5151, 17, 20.489s, 5
59, 0, 0, 0, 260, 0, 6489, 0, 5161, 260, 20.382s, 5
60, 0, 0, 0, 236735, 236856, 7949, 391, 5159, 294, 8.986s, 5
61, 0, 0, 0, 177527, 177642, 7668, 153, 5207, 56, 9.978s, 5
62, 0, 0, 0, 0, 0, 6345, 0, 5103, 0, 20.505s, 5
63, 0, 0, 0, 461, 0, 4354, 7, 5804, 468, 20.011s, 5
64, 0, 0, 0, 373, 0, 4717, 0, 6116, 373, 20.179s, 5
65, 0, 0, 0, 114, 0, 6385, 486, 5791, 600, 20.260s, 5
66, 0, 0, 0, 170, 0, 7694, 14, 5837, 184, 20.415s, 5
67, 0, 0, 0, 19855, 19738, 9187, 0, 5796, 119, 20.152s, 5
68, 0, 0, 0, 51, 0, 6254, 6, 5165, 57, 17.385s, 5
69, 0, 0, 0, 49630, 49345, 7640, 286, 5025, 576, 16.470s, 5
70, 0, 0, 0, 11, 0, 5755, 0, 5842, 11, 20.511s, 5
71, 0, 0, 0, 29, 0, 6445, 0, 5096, 29, 20.485s, 5
72, 0, 0, 4, 39490, 39476, 6572, 8, 5829, 26, 19.796s, 5
