access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,4.7604702950e+01,4.7343312979e+01,1.1057419107e+07,1.1118468879e+07
read,1,4.7548702955e+01,4.7343309879e+01,1.1070441869e+07,1.1118469607e+07
read,2,4.7607638836e+01,4.7343305826e+01,1.1056737214e+07,1.1118470559e+07
read,3,4.7608572006e+01,4.7343305826e+01,1.1056520492e+07,1.1118470559e+07
read,4,4.7588019848e+01,4.7343307018e+01,1.1061295546e+07,1.1118470279e+07
read,5,4.7573336840e+01,4.7343307018e+01,1.1064709498e+07,1.1118470279e+07
read,6,4.7606674910e+01,4.7343307018e+01,1.1056961088e+07,1.1118470279e+07
read,7,4.7546808004e+01,4.7343307018e+01,1.1070883075e+07,1.1118470279e+07
read,8,4.7514292955e+01,4.7343307018e+01,1.1078459117e+07,1.1118470279e+07
read,9,4.7577493906e+01,4.7343305826e+01,1.1063742723e+07,1.1118470559e+07
read,10,4.7512415886e+01,4.7343307018e+01,1.1078896793e+07,1.1118470279e+07
read,11,4.7538352013e+01,4.7343307972e+01,1.1072852333e+07,1.1118470055e+07
read,12,4.7508013010e+01,4.7343306065e+01,1.1079923547e+07,1.1118470503e+07
read,13,4.7509948015e+01,4.7343379021e+01,1.1079472279e+07,1.1118453370e+07
read,14,4.7604007959e+01,4.7343388081e+01,1.1057580539e+07,1.1118451242e+07
read,15,4.7588783979e+01,4.7343305111e+01,1.1061117935e+07,1.1118470727e+07
read,16,4.7601368904e+01,4.7343339920e+01,1.1058193580e+07,1.1118462552e+07
read,17,4.7571671963e+01,4.7343308926e+01,1.1065096733e+07,1.1118469831e+07
read,18,4.7570699930e+01,4.7343307972e+01,1.1065322830e+07,1.1118470055e+07
read,19,4.7519697905e+01,4.7343339920e+01,1.1077199040e+07,1.1118462552e+07
read,20,4.7510212898e+01,4.7343339920e+01,1.1079410508e+07,1.1118462552e+07
read,21,4.7539196014e+01,4.7343339920e+01,1.1072655748e+07,1.1118462552e+07
read,22,4.7504632950e+01,4.7343340874e+01,1.1080711908e+07,1.1118462328e+07
read,23,4.7599277973e+01,4.7343307972e+01,1.1058679342e+07,1.1118470055e+07
read,24,4.7568856001e+01,4.7343307972e+01,1.1065751760e+07,1.1118470055e+07
read,25,4.7566915989e+01,4.7343307972e+01,1.1066203075e+07,1.1118470055e+07
read,26,4.7533552885e+01,4.7343308926e+01,1.1073970281e+07,1.1118469831e+07
read,27,4.7611908913e+01,4.7343307018e+01,1.1055745590e+07,1.1118470279e+07
read,28,4.7550183058e+01,4.7343307972e+01,1.1070097277e+07,1.1118470055e+07
read,29,4.7559932947e+01,4.7343305111e+01,1.1067827883e+07,1.1118470727e+07
read,30,4.7594134092e+01,4.7343390942e+01,1.1059874542e+07,1.1118450570e+07
read,31,4.7587863922e+01,4.7343308926e+01,1.1061331790e+07,1.1118469831e+07
read,32,4.7574753046e+01,4.7343304873e+01,1.1064380124e+07,1.1118470783e+07
read,33,4.7533014059e+01,4.7343304873e+01,1.1074095814e+07,1.1118470783e+07
read,34,4.7519459009e+01,4.7343306065e+01,1.1077254728e+07,1.1118470503e+07
read,35,4.7545964003e+01,4.7343303919e+01,1.1071079597e+07,1.1118471007e+07
read,36,4.7608525991e+01,4.7343306065e+01,1.1056531179e+07,1.1118470503e+07
read,37,4.7584793091e+01,4.7343306065e+01,1.1062045620e+07,1.1118470503e+07
read,38,4.7520492077e+01,4.7343306065e+01,1.1077013915e+07,1.1118470503e+07
read,39,4.7532974958e+01,4.7343305111e+01,1.1074104923e+07,1.1118470727e+07
read,40,4.7607829094e+01,4.7343348026e+01,1.1056693028e+07,1.1118460649e+07
read,41,4.7506757975e+01,4.7343348026e+01,1.1080216256e+07,1.1118460649e+07
read,42,4.7567977905e+01,4.7343348980e+01,1.1065956031e+07,1.1118460425e+07
read,43,4.7527592897e+01,4.7343416929e+01,1.1075358963e+07,1.1118444467e+07
read,44,4.7600393057e+01,4.7343416929e+01,1.1058420282e+07,1.1118444467e+07
read,45,4.7538223028e+01,4.7343308926e+01,1.1072882377e+07,1.1118469831e+07
read,46,4.7551220894e+01,4.7343338966e+01,1.1069855665e+07,1.1118462776e+07
read,47,4.7594539881e+01,4.7343338966e+01,1.1059780246e+07,1.1118462776e+07
read,48,4.7557060003e+01,4.7343338013e+01,1.1068496496e+07,1.1118463000e+07
read,49,4.7569221973e+01,4.7343338966e+01,1.1065666626e+07,1.1118462776e+07
read,50,4.7528815031e+01,4.7343338966e+01,1.1075074177e+07,1.1118462776e+07
read,51,4.7565617085e+01,4.7343338966e+01,1.1066505267e+07,1.1118462776e+07
read,52,4.7560949087e+01,4.7343338013e+01,1.1067591419e+07,1.1118463000e+07
read,53,4.7594908953e+01,4.7343337059e+01,1.1059694484e+07,1.1118463224e+07
read,54,4.7551616907e+01,4.7343336105e+01,1.1069763475e+07,1.1118463448e+07
read,55,4.7576417923e+01,4.7343337059e+01,1.1063992940e+07,1.1118463224e+07
read,56,4.7586641073e+01,4.7343338013e+01,1.1061616036e+07,1.1118463000e+07
read,57,4.7563467979e+01,4.7343338966e+01,1.1067005295e+07,1.1118462776e+07
read,58,4.7571816921e+01,4.7343338966e+01,1.1065063016e+07,1.1118462776e+07
read,59,4.7548598051e+01,4.7343338966e+01,1.1070466293e+07,1.1118462776e+07
read,60,4.7600187063e+01,4.7343418121e+01,1.1058468138e+07,1.1118444187e+07
read,61,4.7576400042e+01,4.7343419075e+01,1.1063997098e+07,1.1118443963e+07
read,62,4.7557717085e+01,4.7343303919e+01,1.1068343568e+07,1.1118471007e+07
read,63,4.7572920084e+01,4.7343308926e+01,1.1064806429e+07,1.1118469831e+07
read,64,4.7585708141e+01,4.7343329906e+01,1.1061832902e+07,1.1118464904e+07
read,65,4.7589456081e+01,4.7343328953e+01,1.1060961720e+07,1.1118465128e+07
read,66,4.7610882998e+01,4.7343307972e+01,1.1055983818e+07,1.1118470055e+07
read,67,4.7581138134e+01,4.7343307972e+01,1.1062895354e+07,1.1118470055e+07
read,68,4.7546967030e+01,4.7343307972e+01,1.1070846047e+07,1.1118470055e+07
read,69,4.7576768160e+01,4.7343307972e+01,1.1063911492e+07,1.1118470055e+07
