access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.2421620846e+01,6.2507430077e+01,7.2683426006e+06,8.4211613140e+06
write,1,7.2492674112e+01,6.2799772978e+01,7.2612185775e+06,8.3819594728e+06
write,2,7.2411883116e+01,5.3570098162e+01,7.2693200253e+06,9.8261001951e+06
write,3,7.2437961102e+01,5.8476817131e+01,7.2667030380e+06,9.0016040172e+06
write,4,7.2461534977e+01,5.6780388117e+01,7.2643389650e+06,9.2705451558e+06
write,5,7.2459959030e+01,4.4084229946e+01,7.2644969587e+06,1.1940441120e+07
write,6,7.2441204071e+01,4.7433079004e+01,7.2663777301e+06,1.1097427429e+07
write,7,7.2419445038e+01,4.1384521961e+01,7.2685609745e+06,1.2719372535e+07
write,8,7.2467709064e+01,4.2111005068e+01,7.2637200595e+06,1.2499942738e+07
write,9,7.2431624174e+01,3.9184682131e+01,7.2673387902e+06,1.3433441931e+07
write,10,7.2453074932e+01,6.2139925003e+01,7.2651871918e+06,8.4709653572e+06
write,11,7.2446346998e+01,5.2318577051e+01,7.2658618938e+06,1.0061151921e+07
write,12,7.2428965092e+01,6.1642243147e+01,7.2676055958e+06,8.5393575108e+06
write,13,7.2495581150e+01,4.0678540945e+01,7.2609274062e+06,1.2940118789e+07
write,14,7.2469671011e+01,4.2810734034e+01,7.2635234113e+06,1.2295634819e+07
write,15,7.5416424036e+01,6.7256940842e+01,6.9797150784e+06,7.8264807381e+06
write,16,7.2417073965e+01,6.7343938112e+01,7.2687989611e+06,7.8163702147e+06
write,17,7.2462264061e+01,4.5193351984e+01,7.2642658744e+06,1.1647402303e+07
write,18,7.2409522057e+01,6.7343824148e+01,7.2695570562e+06,7.8163834421e+06
write,19,7.2492418051e+01,4.0555997133e+01,7.2612442260e+06,1.2979218592e+07
write,20,7.2468132019e+01,5.4052713156e+01,7.2636776654e+06,9.7383668880e+06
write,21,7.2493427038e+01,6.2946023941e+01,7.2611431616e+06,8.3624845390e+06
write,22,7.2483103991e+01,5.7295505047e+01,7.2621772940e+06,9.1871980458e+06
write,23,7.2430730104e+01,4.3733593941e+01,7.2674284967e+06,1.2036174130e+07
write,24,7.2493524075e+01,6.4167355061e+01,7.2611334422e+06,8.2033169593e+06
write,25,7.2449290991e+01,5.5870778084e+01,7.2655666439e+06,9.4214752336e+06
write,26,7.2494744062e+01,4.8337676048e+01,7.2610112472e+06,1.0889748847e+07
write,27,7.2446953058e+01,5.1891034126e+01,7.2658011107e+06,1.0144048213e+07
write,28,7.2440629005e+01,4.5192713976e+01,7.2664354138e+06,1.1647566736e+07
write,29,7.5415258169e+01,6.5569571018e+01,6.9798229798e+06,8.0278876898e+06
write,30,7.2494676113e+01,4.4533062935e+01,7.2610180529e+06,1.1820097638e+07
write,31,7.2441719055e+01,4.6874374151e+01,7.2663260738e+06,1.1229699842e+07
write,32,7.2422610998e+01,6.6571326971e+01,7.2682432288e+06,7.9070851664e+06
write,33,7.5414463997e+01,6.7343932152e+01,6.9798964827e+06,7.8163709065e+06
write,34,7.2465999126e+01,4.3309757948e+01,7.2638914573e+06,1.2153961992e+07
write,35,7.2409824133e+01,6.7343923092e+01,7.2695267293e+06,7.8163719580e+06
write,36,7.2436691999e+01,5.2641214132e+01,7.2668303517e+06,9.9994872967e+06
write,37,7.2425066948e+01,5.8144948006e+01,7.2679967611e+06,9.0529817302e+06
write,38,7.2460615158e+01,6.4714518070e+01,7.2644311789e+06,8.1339576914e+06
write,39,7.5418229103e+01,5.6416670084e+01,6.9795480252e+06,9.3303123211e+06
write,40,7.2414582968e+01,6.5189464092e+01,7.2690490013e+06,8.0746967218e+06
write,41,7.2493421078e+01,5.4042020082e+01,7.2611437586e+06,9.7402937787e+06
write,42,7.2453968048e+01,6.3422141075e+01,7.2650976362e+06,8.2997064286e+06
write,43,7.2459866047e+01,6.3740643978e+01,7.2645062807e+06,8.2582339799e+06
write,44,7.2439303160e+01,5.3789056063e+01,7.2665684102e+06,9.7861013100e+06
write,45,7.2477010965e+01,5.6051717043e+01,7.2627878135e+06,9.3910620365e+06
write,46,7.2422251940e+01,6.7495440006e+01,7.2682792636e+06,7.7988254014e+06
write,47,7.2491034031e+01,5.0066734076e+01,7.2613828598e+06,1.0513670638e+07
