access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,9.4033828974e+01,9.3937771082e+01,5.6854218299e+06,5.6912355684e+06
read,1,9.4033816814e+01,9.3937765837e+01,5.6854225651e+06,5.6912358862e+06
read,2,9.4033830881e+01,9.3937767029e+01,5.6854217146e+06,5.6912358140e+06
read,3,9.4033814907e+01,9.3937765837e+01,5.6854226804e+06,5.6912358862e+06
read,4,9.4033770800e+01,9.3937765837e+01,5.6854253472e+06,5.6912358862e+06
read,5,9.4033831835e+01,9.3937767029e+01,5.6854216570e+06,5.6912358140e+06
read,6,9.4033888817e+01,9.3937767029e+01,5.6854182117e+06,5.6912358140e+06
read,7,9.4033860922e+01,9.3937765837e+01,5.6854198983e+06,5.6912358862e+06
read,8,9.4033854961e+01,9.3937764883e+01,5.6854202587e+06,5.6912359440e+06
read,9,9.4033839941e+01,9.3937764883e+01,5.6854211668e+06,5.6912359440e+06
read,10,9.4033826828e+01,9.3937764883e+01,5.6854219597e+06,5.6912359440e+06
read,11,9.4033835888e+01,9.3937766075e+01,5.6854214119e+06,5.6912358718e+06
read,12,9.4033905983e+01,9.3937766075e+01,5.6854171739e+06,5.6912358718e+06
read,13,9.4033756018e+01,9.3937766075e+01,5.6854262410e+06,5.6912358718e+06
read,14,9.4033824921e+01,9.3937766075e+01,5.6854220750e+06,5.6912358718e+06
read,15,9.4033747911e+01,9.3937766075e+01,5.6854267311e+06,5.6912358718e+06
read,16,9.4033823967e+01,9.3937767029e+01,5.6854221327e+06,5.6912358140e+06
read,17,9.4033864975e+01,9.3937767982e+01,5.6854196533e+06,5.6912357562e+06
read,18,9.4033843994e+01,9.3937769890e+01,5.6854209218e+06,5.6912356406e+06
read,19,9.4033819914e+01,9.3937767029e+01,5.6854223777e+06,5.6912358140e+06
read,20,9.4033859968e+01,9.3937769890e+01,5.6854199560e+06,5.6912356406e+06
read,21,9.4033867836e+01,9.3937769890e+01,5.6854194803e+06,5.6912356406e+06
read,22,9.4033836842e+01,9.3937769890e+01,5.6854213542e+06,5.6912356406e+06
read,23,9.4033913851e+01,9.3937767029e+01,5.6854166982e+06,5.6912358140e+06
read,24,9.4035778999e+01,9.3937767982e+01,5.6853039310e+06,5.6912357562e+06
read,25,9.4033826828e+01,9.3937767982e+01,5.6854219597e+06,5.6912357562e+06
read,26,9.4033843994e+01,9.3937769890e+01,5.6854209218e+06,5.6912356406e+06
read,27,9.4033841848e+01,9.3937768936e+01,5.6854210515e+06,5.6912356984e+06
read,28,9.4033835888e+01,9.3937769890e+01,5.6854214119e+06,5.6912356406e+06
read,29,9.4033842802e+01,9.3937771082e+01,5.6854209939e+06,5.6912355684e+06
read,30,9.4033828974e+01,9.3937767982e+01,5.6854218299e+06,5.6912357562e+06
read,31,9.4033840895e+01,9.3937763929e+01,5.6854211092e+06,5.6912360018e+06
read,32,9.4033829927e+01,9.3937764883e+01,5.6854217723e+06,5.6912359440e+06
read,33,9.4033806801e+01,9.3937764883e+01,5.6854231705e+06,5.6912359440e+06
read,34,9.4033856869e+01,9.3937764883e+01,5.6854201434e+06,5.6912359440e+06
read,35,9.4033831835e+01,9.3937766075e+01,5.6854216570e+06,5.6912358718e+06
read,36,9.4033890009e+01,9.3937766075e+01,5.6854181397e+06,5.6912358718e+06
read,37,9.4033850908e+01,9.3937764883e+01,5.6854205037e+06,5.6912359440e+06
read,38,9.4033813000e+01,9.3937765121e+01,5.6854227958e+06,5.6912359295e+06
read,39,9.4033838987e+01,9.3937764883e+01,5.6854212245e+06,5.6912359440e+06
read,40,9.4033908844e+01,9.3937763929e+01,5.6854170009e+06,5.6912360018e+06
read,41,9.4033891916e+01,9.3937766075e+01,5.6854180243e+06,5.6912358718e+06
read,42,9.4033851862e+01,9.3937765121e+01,5.6854204461e+06,5.6912359295e+06
read,43,9.4033792973e+01,9.3937765121e+01,5.6854240066e+06,5.6912359295e+06
read,44,9.4033824921e+01,9.3937765121e+01,5.6854220750e+06,5.6912359295e+06
read,45,9.4033748865e+01,9.3937768936e+01,5.6854266734e+06,5.6912356984e+06
read,46,9.4033746958e+01,9.3937767029e+01,5.6854267887e+06,5.6912358140e+06
read,47,9.4033745050e+01,9.3937767982e+01,5.6854269041e+06,5.6912357562e+06
read,48,9.4033829927e+01,9.3937767982e+01,5.6854217723e+06,5.6912357562e+06
read,49,9.4033751011e+01,9.3937768936e+01,5.6854265437e+06,5.6912356984e+06
read,50,9.4033850908e+01,9.3937769890e+01,5.6854205037e+06,5.6912356406e+06
read,51,9.4033819914e+01,9.3937769890e+01,5.6854223777e+06,5.6912356406e+06
read,52,9.4033835888e+01,9.3937769890e+01,5.6854214119e+06,5.6912356406e+06
read,53,9.4033912897e+01,9.3937769890e+01,5.6854167558e+06,5.6912356406e+06
read,54,9.4033912897e+01,9.3937768936e+01,5.6854167558e+06,5.6912356984e+06
read,55,9.4033895016e+01,9.3937768936e+01,5.6854178369e+06,5.6912356984e+06
read,56,9.4033843994e+01,9.3937771082e+01,5.6854209218e+06,5.6912355684e+06
read,57,9.4033858061e+01,9.3937768936e+01,5.6854200713e+06,5.6912356984e+06
read,58,9.4033836842e+01,9.3937769890e+01,5.6854213542e+06,5.6912356406e+06
read,59,9.4033841848e+01,9.3937771082e+01,5.6854210515e+06,5.6912355684e+06
read,60,9.4033828974e+01,9.3937766075e+01,5.6854218299e+06,5.6912358718e+06
read,61,9.4033840895e+01,9.3937765121e+01,5.6854211092e+06,5.6912359295e+06
read,62,9.4033910990e+01,9.3937763929e+01,5.6854168711e+06,5.6912360018e+06
read,63,9.4033813953e+01,9.3937762976e+01,5.6854227381e+06,5.6912360595e+06
read,64,9.4033771992e+01,9.3937763929e+01,5.6854252752e+06,5.6912360018e+06
read,65,9.4033831835e+01,9.3937765121e+01,5.6854216570e+06,5.6912359295e+06
read,66,9.4033885002e+01,9.3937765121e+01,5.6854184424e+06,5.6912359295e+06
read,67,9.4033798933e+01,9.3937765121e+01,5.6854236462e+06,5.6912359295e+06
read,68,9.4033855915e+01,9.3937765121e+01,5.6854202010e+06,5.6912359295e+06
read,69,9.4033898830e+01,9.3937765121e+01,5.6854176063e+06,5.6912359295e+06
read,70,9.4033818007e+01,9.3937763929e+01,5.6854224930e+06,5.6912360018e+06
read,71,9.4033833981e+01,9.3937765121e+01,5.6854215272e+06,5.6912359295e+06
read,72,9.4033907890e+01,9.3937765121e+01,5.6854170585e+06,5.6912359295e+06
read,73,9.4033856869e+01,9.3937765121e+01,5.6854201434e+06,5.6912359295e+06
read,74,9.4033854961e+01,9.3937765121e+01,5.6854202587e+06,5.6912359295e+06
read,75,9.4033912897e+01,9.3937768936e+01,5.6854167558e+06,5.6912356984e+06
read,76,9.4033746004e+01,9.3937769890e+01,5.6854268464e+06,5.6912356406e+06
read,77,9.4033758879e+01,9.3937767029e+01,5.6854260680e+06,5.6912358140e+06
read,78,9.4033859968e+01,9.3937767029e+01,5.6854199560e+06,5.6912358140e+06
read,79,9.4033819914e+01,9.3937767982e+01,5.6854223777e+06,5.6912357562e+06
read,80,9.4033838987e+01,9.3937768936e+01,5.6854212245e+06,5.6912356984e+06
read,81,9.4033751965e+01,9.3937768936e+01,5.6854264860e+06,5.6912356984e+06
read,82,9.4033836842e+01,9.3937768936e+01,5.6854213542e+06,5.6912356984e+06
read,83,9.4033874035e+01,9.3937762976e+01,5.6854191055e+06,5.6912360595e+06
read,84,9.4033831835e+01,9.3937767982e+01,5.6854216570e+06,5.6912357562e+06
read,85,9.4033897877e+01,9.3937767029e+01,5.6854176640e+06,5.6912358140e+06
read,86,9.4033843994e+01,9.3937767982e+01,5.6854209218e+06,5.6912357562e+06
read,87,9.4033840895e+01,9.3937767029e+01,5.6854211092e+06,5.6912358140e+06
read,88,9.4033836842e+01,9.3937767982e+01,5.6854213542e+06,5.6912357562e+06
read,89,9.4033869982e+01,9.3937769175e+01,5.6854193505e+06,5.6912356840e+06
read,90,9.4033879995e+01,9.3937767029e+01,5.6854187451e+06,5.6912358140e+06
read,91,9.4033901930e+01,9.3937759161e+01,5.6854174189e+06,5.6912362907e+06
read,92,9.4033911943e+01,9.3937758207e+01,5.6854168135e+06,5.6912363484e+06
read,93,9.4033813000e+01,9.3937762022e+01,5.6854227958e+06,5.6912361173e+06
read,94,9.4033855915e+01,9.3937757969e+01,5.6854202010e+06,5.6912363629e+06
read,95,9.4033774853e+01,9.3937764168e+01,5.6854251022e+06,5.6912359873e+06
read,96,9.4033855915e+01,9.3937764168e+01,5.6854202010e+06,5.6912359873e+06
read,97,9.4033856869e+01,9.3937761068e+01,5.6854201434e+06,5.6912361751e+06
read,98,9.4033905983e+01,9.3937764168e+01,5.6854171739e+06,5.6912359873e+06
read,99,9.4033860922e+01,9.3937764168e+01,5.6854198983e+06,5.6912359873e+06
read,100,9.4033910036e+01,9.3937762976e+01,5.6854169288e+06,5.6912360595e+06
read,101,9.4033814907e+01,9.3937764168e+01,5.6854226804e+06,5.6912359873e+06
read,102,9.4033851862e+01,9.3937764168e+01,5.6854204461e+06,5.6912359873e+06
read,103,9.4033794880e+01,9.3937764168e+01,5.6854238913e+06,5.6912359873e+06
read,104,9.4033854961e+01,9.3937764168e+01,5.6854202587e+06,5.6912359873e+06
read,105,9.4033755064e+01,9.3937767029e+01,5.6854262986e+06,5.6912358140e+06
read,106,9.4033821106e+01,9.3937767029e+01,5.6854223056e+06,5.6912358140e+06
read,107,9.4033909082e+01,9.3937767982e+01,5.6854169865e+06,5.6912357562e+06
read,108,9.4033849001e+01,9.3937767982e+01,5.6854206191e+06,5.6912357562e+06
read,109,9.4033818007e+01,9.3937767029e+01,5.6854224930e+06,5.6912358140e+06
read,110,9.4033858061e+01,9.3937767982e+01,5.6854200713e+06,5.6912357562e+06
read,111,9.4033823967e+01,9.3937767982e+01,5.6854221327e+06,5.6912357562e+06
read,112,9.4033835888e+01,9.3937765837e+01,5.6854214119e+06,5.6912358862e+06
read,113,9.4033853054e+01,9.3937766075e+01,5.6854203740e+06,5.6912358718e+06
read,114,9.4033831120e+01,9.3937767982e+01,5.6854217002e+06,5.6912357562e+06
read,115,9.4033891201e+01,9.3937767982e+01,5.6854180676e+06,5.6912357562e+06
read,116,9.4033911943e+01,9.3937769175e+01,5.6854168135e+06,5.6912356840e+06
read,117,9.4033838987e+01,9.3937767029e+01,5.6854212245e+06,5.6912358140e+06
read,118,9.4033853054e+01,9.3937767029e+01,5.6854203740e+06,5.6912358140e+06
read,119,9.4033840895e+01,9.3937769175e+01,5.6854211092e+06,5.6912356840e+06
read,120,9.4033836126e+01,9.3937796831e+01,5.6854213975e+06,5.6912340084e+06
read,121,9.4033852100e+01,9.3937803030e+01,5.6854204317e+06,5.6912336328e+06
read,122,9.4033795118e+01,9.3937805176e+01,5.6854238769e+06,5.6912335028e+06
read,123,9.4033853054e+01,9.3937803030e+01,5.6854203740e+06,5.6912336328e+06
read,124,9.4033833981e+01,9.3937803984e+01,5.6854215272e+06,5.6912335751e+06
read,125,9.4033777952e+01,9.3937803984e+01,5.6854249148e+06,5.6912335751e+06
read,126,9.4033774137e+01,9.3937802792e+01,5.6854251454e+06,5.6912336473e+06
read,127,9.4033848047e+01,9.3937803984e+01,5.6854206767e+06,5.6912335751e+06
read,128,9.4033861160e+01,9.3937802792e+01,5.6854198839e+06,5.6912336473e+06
read,129,9.4035586119e+01,9.3937802792e+01,5.6853155924e+06,5.6912336473e+06
read,130,9.4033859015e+01,9.3937805176e+01,5.6854200136e+06,5.6912335028e+06
read,131,9.4033838987e+01,9.3937806129e+01,5.6854212245e+06,5.6912334451e+06
read,132,9.4033776999e+01,9.3937803984e+01,5.6854249724e+06,5.6912335751e+06
read,133,9.4033782005e+01,9.3937803984e+01,5.6854246697e+06,5.6912335751e+06
read,134,9.4033843040e+01,9.3937802792e+01,5.6854209794e+06,5.6912336473e+06
read,135,9.4033861160e+01,9.3937804937e+01,5.6854198839e+06,5.6912335173e+06
read,136,9.4033843994e+01,9.3937807798e+01,5.6854209218e+06,5.6912333440e+06
read,137,9.4033851147e+01,9.3937806845e+01,5.6854204893e+06,5.6912334017e+06
read,138,9.4033866167e+01,9.3937808990e+01,5.6854195812e+06,5.6912332717e+06
read,139,9.4033845186e+01,9.3937807798e+01,5.6854208497e+06,5.6912333440e+06
read,140,9.4033854961e+01,9.3937808990e+01,5.6854202587e+06,5.6912332717e+06
read,141,9.4033864975e+01,9.3937808990e+01,5.6854196533e+06,5.6912332717e+06
read,142,9.4033868074e+01,9.3937806845e+01,5.6854194659e+06,5.6912334017e+06
read,143,9.4033804178e+01,9.3937806845e+01,5.6854233291e+06,5.6912334017e+06
read,144,9.4033869982e+01,9.3937808990e+01,5.6854193505e+06,5.6912332717e+06
read,145,9.4033859968e+01,9.3937807798e+01,5.6854199560e+06,5.6912333440e+06
read,146,9.4033869028e+01,9.3937807798e+01,5.6854194082e+06,5.6912333440e+06
read,147,9.4033867121e+01,9.3937808990e+01,5.6854195235e+06,5.6912332717e+06
read,148,9.4033868074e+01,9.3937808990e+01,5.6854194659e+06,5.6912332717e+06
read,149,9.4033856153e+01,9.3937807798e+01,5.6854201866e+06,5.6912333440e+06
read,150,9.4033843994e+01,9.3937802792e+01,5.6854209218e+06,5.6912336473e+06
read,151,9.4033851147e+01,9.3937801838e+01,5.6854204893e+06,5.6912337051e+06
read,152,9.4033796072e+01,9.3937800884e+01,5.6854238192e+06,5.6912337628e+06
read,153,9.4033852100e+01,9.3937801838e+01,5.6854204317e+06,5.6912337051e+06
read,154,9.4033810139e+01,9.3937802792e+01,5.6854229687e+06,5.6912336473e+06
read,155,9.4033779144e+01,9.3937801838e+01,5.6854248427e+06,5.6912337051e+06
read,156,9.4033785105e+01,9.3937801838e+01,5.6854244823e+06,5.6912337051e+06
read,157,9.4033846140e+01,9.3937803030e+01,5.6854207920e+06,5.6912336328e+06
read,158,9.4033839226e+01,9.3937803030e+01,5.6854212101e+06,5.6912336328e+06
read,159,9.4033856153e+01,9.3937800884e+01,5.6854201866e+06,5.6912337628e+06
read,160,9.4033858061e+01,9.3937801838e+01,5.6854200713e+06,5.6912337051e+06
read,161,9.4033838034e+01,9.3937801838e+01,5.6854212822e+06,5.6912337051e+06
read,162,9.4033775091e+01,9.3937802076e+01,5.6854250878e+06,5.6912336906e+06
read,163,9.4033779144e+01,9.3937800884e+01,5.6854248427e+06,5.6912337628e+06
read,164,9.4033842087e+01,9.3937800884e+01,5.6854210371e+06,5.6912337628e+06
read,165,9.4033862114e+01,9.3937808990e+01,5.6854198262e+06,5.6912332717e+06
read,166,9.4033864975e+01,9.3937807798e+01,5.6854196533e+06,5.6912333440e+06
read,167,9.4033828974e+01,9.3937806845e+01,5.6854218299e+06,5.6912334017e+06
read,168,9.4033848047e+01,9.3937808990e+01,5.6854206767e+06,5.6912332717e+06
read,169,9.4033845186e+01,9.3937807798e+01,5.6854208497e+06,5.6912333440e+06
read,170,9.4033806086e+01,9.3937808990e+01,5.6854232138e+06,5.6912332717e+06
read,171,9.4033816099e+01,9.3937809944e+01,5.6854226084e+06,5.6912332140e+06
read,172,9.4033868074e+01,9.3937806845e+01,5.6854194659e+06,5.6912334017e+06
read,173,9.4033795118e+01,9.3937807798e+01,5.6854238769e+06,5.6912333440e+06
read,174,9.4033869982e+01,9.3937808990e+01,5.6854193505e+06,5.6912332717e+06
read,175,9.4033835173e+01,9.3937807798e+01,5.6854214551e+06,5.6912333440e+06
read,176,9.4033869982e+01,9.3937807798e+01,5.6854193505e+06,5.6912333440e+06
read,177,9.4033846140e+01,9.3937808990e+01,5.6854207920e+06,5.6912332717e+06
read,178,9.4033852100e+01,9.3937808990e+01,5.6854204317e+06,5.6912332717e+06
read,179,9.4033859015e+01,9.3937807798e+01,5.6854200136e+06,5.6912333440e+06
read,180,9.4033841133e+01,9.3937802076e+01,5.6854210948e+06,5.6912336906e+06
read,181,9.4033807039e+01,9.3937802076e+01,5.6854231561e+06,5.6912336906e+06
read,182,9.4033843040e+01,9.3937798977e+01,5.6854209794e+06,5.6912338784e+06
read,183,9.4033850908e+01,9.3937799931e+01,5.6854205037e+06,5.6912338206e+06
read,184,9.4033860922e+01,9.3937799931e+01,5.6854198983e+06,5.6912338206e+06
read,185,9.4033835888e+01,9.3937799931e+01,5.6854214119e+06,5.6912338206e+06
read,186,9.4033833981e+01,9.3937799931e+01,5.6854215272e+06,5.6912338206e+06
read,187,9.4033844948e+01,9.3937799931e+01,5.6854208641e+06,5.6912338206e+06
read,188,9.4033858061e+01,9.3937798977e+01,5.6854200713e+06,5.6912338784e+06
read,189,9.4033869982e+01,9.3937798977e+01,5.6854193505e+06,5.6912338784e+06
read,190,9.4033854961e+01,9.3937798977e+01,5.6854202587e+06,5.6912338784e+06
read,191,9.4033834934e+01,9.3937798977e+01,5.6854214696e+06,5.6912338784e+06
read,192,9.4033771992e+01,9.3937798977e+01,5.6854252752e+06,5.6912338784e+06
read,193,9.4033833981e+01,9.3937800169e+01,5.6854215272e+06,5.6912338062e+06
read,194,9.4033836126e+01,9.3937798977e+01,5.6854213975e+06,5.6912338784e+06
read,195,9.4033864021e+01,9.3937806845e+01,5.6854197109e+06,5.6912334017e+06
read,196,9.4033866167e+01,9.3937807798e+01,5.6854195812e+06,5.6912333440e+06
read,197,9.4033828020e+01,9.3937806845e+01,5.6854218876e+06,5.6912334017e+06
read,198,9.4033821106e+01,9.3937808037e+01,5.6854223056e+06,5.6912333295e+06
read,199,9.4033851147e+01,9.3937806845e+01,5.6854204893e+06,5.6912334017e+06
read,200,9.4033827066e+01,9.3937808990e+01,5.6854219453e+06,5.6912332717e+06
read,201,9.4033864021e+01,9.3937808037e+01,5.6854197109e+06,5.6912333295e+06
read,202,9.4033867121e+01,9.3937806845e+01,5.6854195235e+06,5.6912334017e+06
read,203,9.4033801079e+01,9.3937805891e+01,5.6854235165e+06,5.6912334595e+06
read,204,9.4033855200e+01,9.3937808037e+01,5.6854202443e+06,5.6912333295e+06
read,205,9.4033835173e+01,9.3937806845e+01,5.6854214551e+06,5.6912334017e+06
read,206,9.4033852100e+01,9.3937806845e+01,5.6854204317e+06,5.6912334017e+06
read,207,9.4033865213e+01,9.3937808037e+01,5.6854196388e+06,5.6912333295e+06
read,208,9.4033867121e+01,9.3937808037e+01,5.6854195235e+06,5.6912333295e+06
read,209,9.4033869028e+01,9.3937806845e+01,5.6854194082e+06,5.6912334017e+06
read,210,9.4033837080e+01,9.3937800169e+01,5.6854213398e+06,5.6912338062e+06
read,211,9.4033807039e+01,9.3937800169e+01,5.6854231561e+06,5.6912338062e+06
read,212,9.4033787966e+01,9.3937800169e+01,5.6854243093e+06,5.6912338062e+06
read,213,9.4033849001e+01,9.3937798977e+01,5.6854206191e+06,5.6912338784e+06
read,214,9.4033829212e+01,9.3937798977e+01,5.6854218155e+06,5.6912338784e+06
read,215,9.4033792019e+01,9.3937798977e+01,5.6854240643e+06,5.6912338784e+06
read,216,9.4033821106e+01,9.3937798977e+01,5.6854223056e+06,5.6912338784e+06
read,217,9.4033786058e+01,9.3937797785e+01,5.6854244247e+06,5.6912339506e+06
read,218,9.4033855200e+01,9.3937798977e+01,5.6854202443e+06,5.6912338784e+06
read,219,9.4033866167e+01,9.3937798977e+01,5.6854195812e+06,5.6912338784e+06
read,220,9.4033851862e+01,9.3937799931e+01,5.6854204461e+06,5.6912338206e+06
read,221,9.4033776045e+01,9.3937798977e+01,5.6854250301e+06,5.6912338784e+06
read,222,9.4033770084e+01,9.3937798977e+01,5.6854253905e+06,5.6912338784e+06
read,223,9.4033774137e+01,9.3937798977e+01,5.6854251454e+06,5.6912338784e+06
read,224,9.4033834219e+01,9.3937798977e+01,5.6854215128e+06,5.6912338784e+06
read,225,9.4033861160e+01,9.3937806845e+01,5.6854198839e+06,5.6912334017e+06
read,226,9.4033864021e+01,9.3937806845e+01,5.6854197109e+06,5.6912334017e+06
read,227,9.4033868074e+01,9.3937806845e+01,5.6854194659e+06,5.6912334017e+06
read,228,9.4033853054e+01,9.3937808037e+01,5.6854203740e+06,5.6912333295e+06
read,229,9.4033844233e+01,9.3937806845e+01,5.6854209074e+06,5.6912334017e+06
read,230,9.4033856153e+01,9.3937807083e+01,5.6854201866e+06,5.6912333873e+06
read,231,9.4033864021e+01,9.3937808037e+01,5.6854197109e+06,5.6912333295e+06
read,232,9.4033867121e+01,9.3937805891e+01,5.6854195235e+06,5.6912334595e+06
read,233,9.4033805132e+01,9.3937805891e+01,5.6854232715e+06,5.6912334595e+06
read,234,9.4033869028e+01,9.3937808037e+01,5.6854194082e+06,5.6912333295e+06
read,235,9.4033848047e+01,9.3937805891e+01,5.6854206767e+06,5.6912334595e+06
read,236,9.4033868074e+01,9.3937806845e+01,5.6854194659e+06,5.6912334017e+06
read,237,9.4033865213e+01,9.3937807083e+01,5.6854196388e+06,5.6912333873e+06
read,238,9.4033857107e+01,9.3937807083e+01,5.6854201290e+06,5.6912333873e+06
read,239,9.4033869028e+01,9.3937805891e+01,5.6854194082e+06,5.6912334595e+06
read,240,9.4033780098e+01,9.3937705040e+01,5.6854247850e+06,5.6912395696e+06
read,241,9.4033771038e+01,9.3937706947e+01,5.6854253328e+06,5.6912394540e+06
read,242,9.4033768892e+01,9.3937706947e+01,5.6854254626e+06,5.6912394540e+06
read,243,9.4033761024e+01,9.3937706947e+01,5.6854259383e+06,5.6912394540e+06
read,244,9.4033766031e+01,9.3937706947e+01,5.6854256355e+06,5.6912394540e+06
read,245,9.4033767939e+01,9.3937706947e+01,5.6854255202e+06,5.6912394540e+06
read,246,9.4033703089e+01,9.3937707901e+01,5.6854294411e+06,5.6912393963e+06
read,247,9.4033726931e+01,9.3937707901e+01,5.6854279996e+06,5.6912393963e+06
read,248,9.4033764839e+01,9.3937706947e+01,5.6854257076e+06,5.6912394540e+06
read,249,9.4033722878e+01,9.3937707901e+01,5.6854282447e+06,5.6912393963e+06
read,250,9.4033715010e+01,9.3937707901e+01,5.6854287204e+06,5.6912393963e+06
read,251,9.4033710957e+01,9.3937706947e+01,5.6854289654e+06,5.6912394540e+06
read,252,9.4033704042e+01,9.3937706947e+01,5.6854293835e+06,5.6912394540e+06
read,253,9.4033760071e+01,9.3937707901e+01,5.6854259959e+06,5.6912393963e+06
read,254,9.4033762932e+01,9.3937707901e+01,5.6854258229e+06,5.6912393963e+06
read,255,9.4033711195e+01,9.3937705994e+01,5.6854289510e+06,5.6912395118e+06
read,256,9.4033747911e+01,9.3937709093e+01,5.6854267311e+06,5.6912393240e+06
read,257,9.4033753872e+01,9.3937710047e+01,5.6854263707e+06,5.6912392663e+06
read,258,9.4033750057e+01,9.3937710047e+01,5.6854266013e+06,5.6912392663e+06
read,259,9.4033746958e+01,9.3937711000e+01,5.6854267887e+06,5.6912392085e+06
read,260,9.4033761978e+01,9.3937710047e+01,5.6854258806e+06,5.6912392663e+06
read,261,9.4033667088e+01,9.3937710047e+01,5.6854316178e+06,5.6912392663e+06
read,262,9.4033756971e+01,9.3937711000e+01,5.6854261833e+06,5.6912392085e+06
read,263,9.4033751011e+01,9.3937709093e+01,5.6854265437e+06,5.6912393240e+06
read,264,9.4033770084e+01,9.3937710047e+01,5.6854253905e+06,5.6912392663e+06
read,265,9.4033756018e+01,9.3937711000e+01,5.6854262410e+06,5.6912392085e+06
read,266,9.4033747911e+01,9.3937711000e+01,5.6854267311e+06,5.6912392085e+06
read,267,9.4033751011e+01,9.3937711000e+01,5.6854265437e+06,5.6912392085e+06
read,268,9.4033742905e+01,9.3937711000e+01,5.6854270338e+06,5.6912392085e+06
read,269,9.4033751011e+01,9.3937710047e+01,5.6854265437e+06,5.6912392663e+06
read,270,9.4035557985e+01,9.3937710047e+01,5.6853172933e+06,5.6912392663e+06
read,271,9.4033704996e+01,9.3937706947e+01,5.6854293258e+06,5.6912394540e+06
read,272,9.4033763885e+01,9.3937706947e+01,5.6854257653e+06,5.6912394540e+06
read,273,9.4033758879e+01,9.3937707901e+01,5.6854260680e+06,5.6912393963e+06
read,274,9.4033765078e+01,9.3937707901e+01,5.6854256932e+06,5.6912393963e+06
read,275,9.4033766985e+01,9.3937706947e+01,5.6854255779e+06,5.6912394540e+06
read,276,9.4033715010e+01,9.3937707901e+01,5.6854287204e+06,5.6912393963e+06
read,277,9.4033725977e+01,9.3937707901e+01,5.6854280573e+06,5.6912393963e+06
read,278,9.4033725977e+01,9.3937709093e+01,5.6854280573e+06,5.6912393240e+06
read,279,9.4033762932e+01,9.3937707901e+01,5.6854258229e+06,5.6912393963e+06
read,280,9.4033765078e+01,9.3937707901e+01,5.6854256932e+06,5.6912393963e+06
read,281,9.4033757925e+01,9.3937707901e+01,5.6854261256e+06,5.6912393963e+06
read,282,9.4033770084e+01,9.3937709093e+01,5.6854253905e+06,5.6912393240e+06
read,283,9.4033719063e+01,9.3937707901e+01,5.6854284753e+06,5.6912393963e+06
read,284,9.4033762932e+01,9.3937707901e+01,5.6854258229e+06,5.6912393963e+06
read,285,9.4033757925e+01,9.3937711954e+01,5.6854261256e+06,5.6912391507e+06
read,286,9.4033681870e+01,9.3937708139e+01,5.6854307241e+06,5.6912393818e+06
read,287,9.4033753872e+01,9.3937709093e+01,5.6854263707e+06,5.6912393240e+06
read,288,9.4033750057e+01,9.3937709093e+01,5.6854266013e+06,5.6912393240e+06
read,289,9.4033746958e+01,9.3937709093e+01,5.6854267887e+06,5.6912393240e+06
read,290,9.4033761978e+01,9.3937709093e+01,5.6854258806e+06,5.6912393240e+06
read,291,9.4033746004e+01,9.3937709093e+01,5.6854268464e+06,5.6912393240e+06
read,292,9.4033756018e+01,9.3937709093e+01,5.6854262410e+06,5.6912393240e+06
read,293,9.4033747911e+01,9.3937709093e+01,5.6854267311e+06,5.6912393240e+06
read,294,9.4033767939e+01,9.3937709093e+01,5.6854255202e+06,5.6912393240e+06
read,295,9.4033755064e+01,9.3937710047e+01,5.6854262986e+06,5.6912392663e+06
read,296,9.4033748150e+01,9.3937710047e+01,5.6854267167e+06,5.6912392663e+06
read,297,9.4033751965e+01,9.3937710047e+01,5.6854264860e+06,5.6912392663e+06
read,298,9.4033668995e+01,9.3937710047e+01,5.6854315025e+06,5.6912392663e+06
read,299,9.4033692122e+01,9.3937710047e+01,5.6854301042e+06,5.6912392663e+06
read,300,9.4033782005e+01,9.3937710047e+01,5.6854246697e+06,5.6912392663e+06
read,301,9.4033771038e+01,9.3937708139e+01,5.6854253328e+06,5.6912393818e+06
read,302,9.4033737898e+01,9.3937705994e+01,5.6854273365e+06,5.6912395118e+06
read,303,9.4033730030e+01,9.3937705994e+01,5.6854278122e+06,5.6912395118e+06
read,304,9.4033730984e+01,9.3937705994e+01,5.6854277546e+06,5.6912395118e+06
read,305,9.4033766985e+01,9.3937706947e+01,5.6854255779e+06,5.6912394540e+06
read,306,9.4033765078e+01,9.3937705994e+01,5.6854256932e+06,5.6912395118e+06
read,307,9.4033765078e+01,9.3937706947e+01,5.6854256932e+06,5.6912394540e+06
read,308,9.4033771992e+01,9.3937706947e+01,5.6854252752e+06,5.6912394540e+06
read,309,9.4033767939e+01,9.3937708139e+01,5.6854255202e+06,5.6912393818e+06
read,310,9.4033765078e+01,9.3937706947e+01,5.6854256932e+06,5.6912394540e+06
read,311,9.4033757925e+01,9.3937706947e+01,5.6854261256e+06,5.6912394540e+06
read,312,9.4033740997e+01,9.3937705994e+01,5.6854271491e+06,5.6912395118e+06
