access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.4469318795e+02,7.1958664393e+02,7.1790905657e+05,7.4295706918e+05
write,1,7.4469316483e+02,7.3478267002e+02,7.1790907887e+05,7.2759198851e+05
write,2,7.4469315791e+02,7.3567142606e+02,7.1790908553e+05,7.2671299314e+05
write,3,7.4469300294e+02,7.2843055606e+02,7.1790923493e+05,7.3393678993e+05
write,4,7.4469304395e+02,6.1346438813e+02,7.1790919540e+05,8.7148006362e+05
write,5,7.4469312978e+02,6.5307510304e+02,7.1790911266e+05,8.1862251601e+05
write,6,7.4469316578e+02,5.8900566101e+02,7.1790907795e+05,9.0766866838e+05
write,7,7.4469305396e+02,7.0796904993e+02,7.1790918575e+05,7.5514880778e+05
write,8,7.4469316697e+02,7.0013430905e+02,7.1790907680e+05,7.6359917960e+05
write,9,7.4469311380e+02,6.9285480905e+02,7.1790912806e+05,7.7162195747e+05
write,10,7.4469318080e+02,6.6318962598e+02,7.1790906347e+05,8.0613743499e+05
write,11,7.4469316888e+02,7.0289085293e+02,7.1790907496e+05,7.6060455442e+05
write,12,7.4469317794e+02,6.2887245297e+02,7.1790906623e+05,8.5012784623e+05
write,13,7.4469316697e+02,6.5219636106e+02,7.1790907680e+05,8.1972549360e+05
write,14,7.4469316888e+02,5.9417931414e+02,7.1790907496e+05,8.9976539284e+05
write,15,7.4469311714e+02,4.5108121800e+02,7.1790912484e+05,1.1852011626e+06
write,16,7.4469316292e+02,6.4061417413e+02,7.1790908071e+05,8.3454598039e+05
write,17,7.4469317389e+02,7.1896221900e+02,7.1790907014e+05,7.4360233385e+05
write,18,7.4469316101e+02,6.9276449108e+02,7.1790908255e+05,7.7172255634e+05
write,19,7.4469314504e+02,6.7841917706e+02,7.1790909795e+05,7.8804078965e+05
write,20,7.4469308400e+02,5.7604086709e+02,7.1790915679e+05,9.2809731834e+05
write,21,7.4469317389e+02,5.6544258499e+02,7.1790907014e+05,9.4549296107e+05
write,22,7.4469316888e+02,6.4806453109e+02,7.1790907496e+05,8.2495177309e+05
write,23,7.4469314885e+02,7.2717898917e+02,7.1790909427e+05,7.3519998784e+05
write,24,7.4469318390e+02,7.3279100704e+02,7.1790906048e+05,7.2956952100e+05
